="                         ",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)"
="                         ",="Standardized values of stateva_obs_year",="Standardized values of mqi5",="Standardized values of clinstd",="Standardized values of clts",="Standardized values of clrsp",="Standardized values of clpc",="Standardized values of stateva_obs_year",="Standardized values of mqi5",="Standardized values of clinstd",="Standardized values of clts",="Standardized values of clrsp",="Standardized values of clpc",="Standardized values of stateva_obs_year",="Standardized values of mqi5",="Standardized values of clinstd",="Standardized values of clts",="Standardized values of clrsp",="Standardized values of clpc",="Standardized values of stateva_obs_year",="Standardized values of mqi5",="Standardized values of clinstd",="Standardized values of clts",="Standardized values of clrsp",="Standardized values of clpc",="Standardized values of stateva_obs_year",="Standardized values of mqi5",="Standardized values of clinstd",="Standardized values of clts",="Standardized values of clrsp",="Standardized values of clpc",="Standardized values of stateva_obs_year",="Standardized values of mqi5",="Standardized values of clinstd",="Standardized values of clts",="Standardized values of clrsp",="Standardized values of clpc",="Standardized values of stateva_obs_year",="Standardized values of mqi5",="Standardized values of clinstd",="Standardized values of clts",="Standardized values of clrsp",="Standardized values of clpc"
="student_reasoning_prop   ",="0.100*",="0.313**",="0.246**",="0.144**",="0.173**",="0.120**",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="                         ",="(0.048)",="(0.066)",="(0.050)",="(0.031)",="(0.035)",="(0.035)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="teacher_on_task_prop     ",="",="",="",="",="",="",="0.017+",="0.021*",="0.030**",="0.034**",="0.024**",="0.035**",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="                         ",="",="",="",="",="",="",="(0.009)",="(0.010)",="(0.010)",="(0.008)",="(0.007)",="(0.007)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="student_on_task_prop     ",="",="",="",="",="",="",="",="",="",="",="",="",="0.018+",="0.022*",="0.032**",="0.033**",="0.024**",="0.036**",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="                         ",="",="",="",="",="",="",="",="",="",="",="",="",="(0.009)",="(0.010)",="(0.011)",="(0.008)",="(0.007)",="(0.007)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="focusing_question_prop   ",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.102+",="0.233**",="0.198**",="0.132**",="0.164**",="0.115**",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="                         ",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.052)",="(0.086)",="(0.072)",="(0.035)",="(0.044)",="(0.036)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="high_uptake_prop         ",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.054*",="0.117**",="0.083**",="0.089**",="0.058**",="0.079**",="",="",="",="",="",="",="",="",="",="",="",=""
="                         ",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.023)",="(0.032)",="(0.026)",="(0.019)",="(0.017)",="(0.017)",="",="",="",="",="",="",="",="",="",="",="",=""
="student_turn_prop        ",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.484",="-0.047",="0.718",="0.214",="0.125",="-0.172",="",="",="",="",="",=""
="                         ",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.512)",="(0.528)",="(0.669)",="(0.574)",="(0.485)",="(0.560)",="",="",="",="",="",=""
="student_word_prop        ",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.245",="0.721+",="1.132*",="0.001",="0.469",="0.322"
="                         ",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.447)",="(0.413)",="(0.541)",="(0.325)",="(0.395)",="(0.387)"
="R^2                      ",="0.070",="0.097",="0.036",="0.031",="0.031",="0.033",="0.068",="0.056",="0.017",="0.032",="0.023",="0.038",="0.068",="0.056",="0.019",="0.032",="0.023",="0.039",="0.070",="0.078",="0.027",="0.030",="0.030",="0.033",="0.071",="0.076",="0.021",="0.036",="0.023",="0.038",="0.066",="0.052",="0.010",="0.022",="0.018",="0.026",="0.066",="0.054",="0.015",="0.022",="0.019",="0.027"
="Observations             ",="1500",="1557",="1554",="1554",="1554",="1554",="1500",="1557",="1554",="1554",="1554",="1554",="1500",="1557",="1554",="1554",="1554",="1554",="1500",="1557",="1554",="1554",="1554",="1554",="1500",="1557",="1554",="1554",="1554",="1554",="1500",="1557",="1554",="1554",="1554",="1554",="1500",="1557",="1554",="1554",="1554",="1554"
